Date,Open,High,Low,Close,Adj Close,Volume
2008-07-22,747.640015,754.849976,741.789978,750.690002,750.690002,432350400
2008-07-23,765.549988,770.520020,761.159973,768.059998,768.059998,412176300
2008-07-24,773.869995,773.869995,753.359985,756.450012,756.450012,360122500
2008-07-25,749.270020,762.830017,747.289978,758.950012,758.950012,391033400
2008-07-28,757.289978,757.289978,750.049988,750.049988,750.049988,262802000
2008-07-29,743.260010,752.950012,738.729980,749.440002,749.440002,363564700
2008-07-30,757.640015,765.799988,754.760010,762.369995,762.369995,346206900
2008-07-31,763.289978,767.909973,754.599976,759.280029,759.280029,384326800
2008-08-01,753.000000,757.409973,744.210022,747.140015,747.140015,308081600
2008-08-04,747.349976,751.770020,741.200012,743.099976,743.099976,270769400
2008-08-05,746.140015,761.000000,743.659973,760.960022,760.960022,410174700
2008-08-06,766.409973,772.219971,762.169983,771.549988,771.549988,394184900
2008-08-07,769.820007,782.190002,768.559998,772.159973,772.159973,376838300
2008-08-08,767.190002,779.059998,765.599976,778.869995,778.869995,348455600
2008-08-11,779.979980,788.750000,778.929993,788.739990,788.739990,280273500
2008-08-12,785.609985,791.890015,781.539978,787.580017,787.580017,344337800
2008-08-13,783.309998,784.840027,769.489990,770.119995,770.119995,333631000
2008-08-14,775.119995,778.859985,765.289978,771.799988,771.799988,266980600
2008-08-15,776.270020,784.190002,772.669983,777.809998,777.809998,234064800
2008-08-18,775.140015,784.140015,770.059998,776.320007,776.320007,193985100
2008-08-19,768.469971,768.469971,756.630005,757.000000,757.000000,272634400
2008-08-20,760.090027,763.530029,755.250000,761.309998,761.309998,243867900
2008-08-21,756.260010,757.169983,749.539978,751.950012,751.950012,248593000
2008-08-22,754.830017,768.989990,752.479980,768.479980,768.479980,228775000
2008-08-25,764.820007,767.450012,760.500000,760.880005,760.880005,123345200
2008-08-26,756.460022,766.020020,751.219971,763.570007,763.570007,220364100
2008-08-27,763.229980,767.489990,754.760010,765.260010,765.260010,235426400
2008-08-28,763.919983,781.349976,759.559998,778.669983,778.669983,320772900
2008-08-29,780.210022,786.409973,777.859985,782.809998,782.809998,308116400
2008-09-01,777.250000,784.119995,774.679993,781.500000,781.500000,181223200
2008-09-02,780.599976,795.280029,777.130005,791.940002,791.940002,395580900
2008-09-03,784.400024,786.830017,777.179993,777.179993,777.179993,276075700
2008-09-04,777.549988,780.000000,755.140015,755.159973,755.159973,436719900
2008-09-05,750.219971,751.929993,735.789978,737.739990,737.739990,442908000
2008-09-08,765.219971,771.020020,756.989990,760.830017,760.830017,449446300
2008-09-09,760.179993,767.210022,749.090027,752.270020,752.270020,388245200
2008-09-10,752.000000,753.940002,741.890015,748.210022,748.210022,379427400
2008-09-11,747.609985,749.809998,733.659973,741.900024,741.900024,359523700
2008-09-12,748.609985,756.070007,743.590027,756.070007,756.070007,328904700
2008-09-15,733.289978,734.090027,715.929993,729.169983,729.169983,593552100
2008-09-16,717.390015,726.260010,702.869995,713.489990,713.489990,732819100
2008-09-17,724.780029,726.770020,695.580017,696.750000,696.750000,664567400
2008-09-18,696.210022,709.159973,685.979980,690.700012,690.700012,697538000
2008-09-19,726.229980,750.250000,723.659973,750.250000,750.250000,1095259500
2008-09-22,750.609985,755.400024,734.020020,734.020020,734.020020,439220100
2008-09-23,730.119995,730.880005,716.500000,720.140015,720.140015,418247100
2008-09-24,724.599976,726.390015,713.429993,714.989990,714.989990,355099300
2008-09-25,714.619995,732.190002,714.299988,732.190002,732.190002,489947200
2008-09-26,721.400024,723.869995,710.580017,717.030029,717.030029,423305900
2008-09-29,712.039978,712.039978,677.849976,677.849976,677.849976,582203800
2008-09-30,658.650024,691.640015,658.330017,690.880005,690.880005,582041600
2008-10-01,697.710022,698.359985,686.729980,695.119995,695.119995,401613600
2008-10-02,696.179993,707.150024,682.760010,683.219971,683.219971,483211400
2008-10-03,685.369995,703.630005,674.799988,699.820007,699.820007,433551600
2008-10-06,669.299988,671.659973,634.820007,639.900024,639.900024,548857000
